ANA|252,76,2|185,151,91
ARI|140,38,51|226,184,181
BOS|252,181,20|17,17,17
BUF|0,38,84|252,181,20
CAR|226,24,54|35,31,32
CBJ|0,38,84|206,17,38
CGY|200,16,46|241,190,72
CHI|207,10,44|0,0,0
COL|111,38,61|35,97,146
DAL|0,104,71|143,143,140
DET|206,17,38|250,250,250
EDM|4,30,66|252,76,0
FLA|4,30,66|200,16,46
LAK|17,17,17|162,170,173
MIN|2,73,48|175,35,36
MTL|175,30,45|25,33,104
NJD|206,17,38|0,0,0
NSH|255,184,28|4,30,66
NYI|0,183,55|244,125,48
NYR|0,56,168|206,17,38
OTT|197,32,50|194,145,44
PHI|247,73,2|0,0,0
PIT|0,0,0|207,196,147
SJS|0,109,117|203,114,0
STL|0,47,135|252,181,20
TBL|0,40,104|255,255,255
TOR|0,32,91|255,255,255
VAN|0,32,91|10,134,61
VGK|185,151,91|51,63,72
WPG|4,30,66|85,86,90
WSH|4,30,66|200,16,46
